entry_num,userid,deviceid,sense_time,sense_time_millisec,upload_time,sensor_type,os,version,latitude,longitude,provider,accuracy,speed,bearing,config_accuracy
18466191,654321,2e8e0fd501f07b4a,3/1/17 0:02,1.48833E+12,3/1/17 0:45,location,Android 5.1,2.0.0,41.8066356,-72.2526373,network,20,0,0,LOCATION_ACCURACY_FINE
18466192,654321,2e8e0fd501f07b4a,3/1/17 0:02,1.48833E+12,3/1/17 0:45,location,Android 5.1,2.0.0,41.80738842,-72.25277331,gps,50,0,0,LOCATION_ACCURACY_FINE
18466193,654321,2e8e0fd501f07b4a,3/1/17 0:11,1.48833E+12,3/1/17 0:45,location,Android 5.1,2.0.0,41.8064244,-72.2517847,network,20,0,0,LOCATION_ACCURACY_FINE
18466194,654321,2e8e0fd501f07b4a,3/1/17 0:22,1.48833E+12,3/1/17 0:45,location,Android 5.1,2.0.0,41.8044027,-72.2525712,network,36,0,0,LOCATION_ACCURACY_FINE
18466195,654321,2e8e0fd501f07b4a,3/1/17 0:22,1.48833E+12,3/1/17 0:45,location,Android 5.1,2.0.0,41.80213497,-72.25210268,gps,7,1,160,LOCATION_ACCURACY_FINE
18466196,654321,2e8e0fd501f07b4a,3/1/17 0:31,1.48833E+12,3/1/17 1:33,location,Android 5.1,2.0.0,41.8094763,-72.261157,network,60,0,0,LOCATION_ACCURACY_FINE
18466197,654321,2e8e0fd501f07b4a,3/1/17 0:31,1.48833E+12,3/1/17 1:33,location,Android 5.1,2.0.0,41.80944786,-72.2615468,gps,52,0,231,LOCATION_ACCURACY_FINE
18466198,654321,2e8e0fd501f07b4a,3/1/17 0:41,1.48833E+12,3/1/17 1:33,location,Android 5.1,2.0.0,41.8097593,-72.262101,network,50,0,0,LOCATION_ACCURACY_FINE
18466199,654321,2e8e0fd501f07b4a,3/1/17 0:41,1.48833E+12,3/1/17 1:33,location,Android 5.1,2.0.0,41.80979902,-72.26169798,gps,19,1,358,LOCATION_ACCURACY_FINE
18466200,654321,2e8e0fd501f07b4a,3/1/17 0:51,1.48833E+12,3/1/17 1:33,location,Android 5.1,2.0.0,41.8038691,-72.2622889,network,30,0,0,LOCATION_ACCURACY_FINE
