entry_num,userid,deviceid,sense_time,sense_time_millisec,upload_time,sensor_type,os,version,latitude,longitude,provider,accuracy,speed,bearing,config_accuracy
22050773,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:30",1488404130000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80676370,-72.25287714,GPS,30,0,"",kCLLocationAccuracyNearestTenMeters
22050774,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:22",1488404122000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80676370,-72.25287714,GPS,30,0,"",kCLLocationAccuracyNearestTenMeters
22050776,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:37:24",1488404245000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80537128,-72.25411651,GPS,2328,-1,"",kCLLocationAccuracyNearestTenMeters
22050777,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:38",1488404138000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80702875,-72.25292339,GPS,26,-1,"",kCLLocationAccuracyNearestTenMeters
22050779,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:37:31",1488404251000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80684126,-72.25280472,GPS,65,-1,"",kCLLocationAccuracyNearestTenMeters
22050780,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:50:22",1488405022000,"2017-03-02 01:07:17",location,"iOS 10.2.1",2.0.2,41.80675205,-72.25287278,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050781,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:55:23",1488405323000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80675402,-72.25287639,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050782,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:55:15",1488405315000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80675402,-72.25287639,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050784,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:02:19",1488405739000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80014746,-72.25876257,GPS,6000,-1,"",kCLLocationAccuracyNearestTenMeters
22050786,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:58:08",1488405489000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80687431,-72.25280396,GPS,25,-1,"",kCLLocationAccuracyNearestTenMeters
22050787,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:02:24",1488405744000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.79713235,-72.26144891,GPS,6000,-1,"",kCLLocationAccuracyNearestTenMeters
22050788,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:02:59",1488405779000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80676537,-72.25285201,GPS,65,-1,"",kCLLocationAccuracyNearestTenMeters
22050789,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:06:21",1488405981000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80685095,-72.25276801,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050790,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:27",1488406408000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80646614,-72.25371181,GPS,200,5,"",kCLLocationAccuracyNearestTenMeters
22050792,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:03",1488406384000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80658227,-72.25297420,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050793,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:28",1488406409000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80646614,-72.25371181,GPS,200,5,"",kCLLocationAccuracyHundredMeters
22050802,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:29",1488406410000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80626494,-72.25451384,GPS,200,7,"",kCLLocationAccuracyNearestTenMeters
22050820,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:30",1488406411000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80623258,-72.25495109,GPS,200,6,"",kCLLocationAccuracyNearestTenMeters
