entry_num,userid,deviceid,sense_time,sense_time_millisec,upload_time,sensor_type,os,version,latitude,longitude,provider,accuracy,speed,bearing,config_accuracy
22050773,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:30",1488404130000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80676370,-72.25287714,GPS,30,0,"",kCLLocationAccuracyNearestTenMeters
22050774,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:22",1488404122000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80676370,-72.25287714,GPS,30,0,"",kCLLocationAccuracyNearestTenMeters
22050777,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:38",1488404138000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80702875,-72.25292339,GPS,26,-1,"",kCLLocationAccuracyNearestTenMeters
22050780,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:50:22",1488405022000,"2017-03-02 01:07:17",location,"iOS 10.2.1",2.0.2,41.80675205,-72.25287278,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050781,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:55:23",1488405323000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80675402,-72.25287639,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050782,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:55:15",1488405315000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80675402,-72.25287639,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050786,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:58:08",1488405489000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80687431,-72.25280396,GPS,25,-1,"",kCLLocationAccuracyNearestTenMeters
22050789,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:06:21",1488405981000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80685095,-72.25276801,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050792,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:03",1488406384000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80658227,-72.25297420,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050860,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:32",1488406413000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80670746,-72.25367334,GPS,50,2,"",kCLLocationAccuracyHundredMeters
22050878,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:33",1488406414000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80670746,-72.25367334,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050890,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:34",1488406415000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80669149,-72.25361131,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050908,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:37",1488406417000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80669149,-72.25361131,GPS,50,0,"",kCLLocationAccuracyHundredMeters
20005740,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 12:00:31",1488369631000,"2017-03-01 12:56:13",location,"iOS 10.2.1",2.0.2,41.80383062,-72.26223411,GPS,30,0,"",kCLLocationAccuracyNearestTenMeters
20005742,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 12:21:33",1488370893000,"2017-03-01 12:56:13",location,"iOS 10.2.1",2.0.2,41.80390022,-72.26190353,GPS,26,-1,"",kCLLocationAccuracyHundredMeters
20005972,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 15:08:15",1488380895000,"2017-03-01 15:29:25",location,"iOS 10.2.1",2.0.2,41.80621292,-72.25333320,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
20005973,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 15:08:07",1488380887000,"2017-03-01 15:29:25",location,"iOS 10.2.1",2.0.2,41.80621292,-72.25333320,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
20005975,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 15:09:21",1488380962000,"2017-03-01 15:29:25",location,"iOS 10.2.1",2.0.2,41.80625325,-72.25327226,GPS,20,-1,"",kCLLocationAccuracyNearestTenMeters
