entry_num,userid,deviceid,sense_time,sense_time_millisec,upload_time,sensor_type,os,version,latitude,longitude,provider,accuracy,speed,bearing,config_accuracy
22050773,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:30",1488404130000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80676370,-72.25287714,GPS,30,0,"",kCLLocationAccuracyNearestTenMeters
22050774,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:22",1488404122000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80676370,-72.25287714,GPS,30,0,"",kCLLocationAccuracyNearestTenMeters
22050777,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:35:38",1488404138000,"2017-03-02 01:07:15",location,"iOS 10.2.1",2.0.2,41.80702875,-72.25292339,GPS,26,-1,"",kCLLocationAccuracyNearestTenMeters
22050780,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:50:22",1488405022000,"2017-03-02 01:07:17",location,"iOS 10.2.1",2.0.2,41.80675205,-72.25287278,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050781,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:55:23",1488405323000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80675402,-72.25287639,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050782,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:55:15",1488405315000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80675402,-72.25287639,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050786,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 21:58:08",1488405489000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80687431,-72.25280396,GPS,25,-1,"",kCLLocationAccuracyNearestTenMeters
22050789,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:06:21",1488405981000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80685095,-72.25276801,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050792,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:03",1488406384000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80658227,-72.25297420,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050860,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:32",1488406413000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80670746,-72.25367334,GPS,50,2,"",kCLLocationAccuracyHundredMeters
22050878,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:33",1488406414000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80670746,-72.25367334,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050890,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:34",1488406415000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80669149,-72.25361131,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050908,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-01 22:13:37",1488406417000,"2017-03-02 03:30:55",location,"iOS 10.2.1",2.0.2,41.80669149,-72.25361131,GPS,50,0,"",kCLLocationAccuracyHundredMeters
22050917,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-02 01:06:24",1488416785000,"2017-03-02 01:34:07",location,"iOS 10.2.1",2.0.2,41.80380707,-72.26201933,GPS,27,-1,"",kCLLocationAccuracyNearestTenMeters
22050920,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-02 01:07:17",1488416837000,"2017-03-02 01:34:07",location,"iOS 10.2.1",2.0.2,41.80381344,-72.26229253,GPS,10,0,"",kCLLocationAccuracyNearestTenMeters
22050921,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-02 01:23:48",1488417828000,"2017-03-02 03:05:21",location,"iOS 10.2.1",2.0.2,41.80377840,-72.26235003,GPS,10,0,"",kCLLocationAccuracyHundredMeters
22050922,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-02 01:33:17",1488418398000,"2017-03-02 03:05:21",location,"iOS 10.2.1",2.0.2,41.80380716,-72.26202003,GPS,27,-1,"",kCLLocationAccuracyHundredMeters
22050932,000000,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,"2017-03-02 02:00:17",1488420018000,"2017-03-02 03:05:22",location,"iOS 10.2.1",2.0.2,41.80380375,-72.26193861,GPS,31,-1,"",kCLLocationAccuracyHundredMeters
